Date,long,lat
03/10/2010,-7.86,-1.56
04/10/2010,-7.65,-4.64
05/10/2010,-4.35,-8.34
05/10/2010,-3.01,8.18
06/10/2010,-2.92,6.24
06/10/2010,-2.33,13.99
06/10/2010,-2.5,15.01
07/10/2010,-2.28,17.53
07/10/2010,-1.82,10.92
08/10/2010,-1.35,16.16
08/10/2010,-0.26,3.84
09/10/2010,-0.3,3.74
09/10/2010,0.79,-5.99
10/10/2010,3.64,20.27
10/10/2010,5.73,0.3
11/10/2010,8.32,23.7
11/10/2010,11.79,-6.26
12/10/2010,12.38,-1.57
12/10/2010,13.1,-6.8
13/10/2010,15.45,10.87
13/10/2010,15.42,10.6
14/10/2010,13.76,-1.36
14/10/2010,13.99,-2.97
15/10/2010,13.83,-3.69
15/10/2010,13.31,-0.43
16/10/2010,13.65,1.99
16/10/2010,14.5,-3.42
17/10/2010,14.73,-1.86
17/10/2010,14.08,1.92
18/10/2010,14.18,2.65
18/10/2010,14.28,1.88
19/10/2010,14.25,1.86
19/10/2010,13.73,4.68
20/10/2010,13.34,2.52
20/10/2010,14.19,-2.19
21/10/2010,14.54,-0.19
21/10/2010,14.27,1.13
22/10/2010,14.75,3.71
22/10/2010,14.36,5.6
23/10/2010,13.72,2.37
23/10/2010,13.83,1.73
24/10/2010,13.81,1.72
24/10/2010,14.92,-3.54
25/10/2010,15.4,-1.2
25/10/2010,15.02,0.54
26/10/2010,16.38,6.87
26/10/2010,16.74,5.07
27/10/2010,15.23,-1.62
27/10/2010,14.72,0.57
28/10/2010,13.71,-3.63
28/10/2010,13.57,-3.06
29/10/2010,14.44,0.59
29/10/2010,15.43,-3.46
30/10/2010,16.55,1.12
30/10/2010,14.04,11.39
31/10/2010,11.91,2.62
31/10/2010,12.78,-0.84
01/11/2010,13.03,0.15
01/11/2010,14.03,-3.61
02/11/2010,14.9,-0.3
02/11/2010,15.15,-1.21
03/11/2010,15.77,1.13
03/11/2010,14.65,5.31
04/11/2010,13.52,1.13
04/11/2010,13.28,2.04
05/11/2010,15.03,8.36
05/11/2010,15.41,6.94
06/11/2010,13.91,1.58
06/11/2010,14.17,0.71
07/11/2010,13.68,-0.98
07/11/2010,12.93,1.57
08/11/2010,13.19,2.41
08/11/2010,14.45,-1.74
09/11/2010,15.46,1.57
09/11/2010,16.47,-1.68
10/11/2010,16.11,-2.85
10/11/2010,15.37,-0.44
11/11/2010,15.38,-0.42
11/11/2010,15.52,-0.8
12/11/2010,17.91,6.71
12/11/2010,17.68,7.46
13/11/2010,15.07,-0.74
13/11/2010,15.21,-1.1
14/11/2010,15.61,0.05
14/11/2010,15.75,-0.32
15/11/2010,15.52,-1.04
15/11/2010,13.8,4.18
16/11/2010,14.32,5.65
16/11/2010,16.47,-0.62
17/11/2010,17.49,2.29
17/11/2010,17.02,3.74
18/11/2010,15.54,-0.58
18/11/2010,16.07,-1.97
19/11/2010,16.47,-0.9
19/11/2010,17.37,-3.3
20/11/2010,17.78,-2.24
20/11/2010,15.31,4.71
21/11/2010,15.34,4.7
21/11/2010,15.87,3.29
22/11/2010,14.03,-1.82
22/11/2010,12.81,1.57
23/11/2010,11.85,-1.11
23/11/2010,12.51,-2.75
24/11/2010,13.17,-1.08
24/11/2010,11.33,3.91
25/11/2010,11.12,3.23
25/11/2010,13.16,-2.01
26/11/2010,14.44,1.25
26/11/2010,11.86,8.14
27/11/2010,11.15,6.15
27/11/2010,13.82,-0.66
28/11/2010,14.61,1.26
28/11/2010,16.15,-2.53
29/11/2010,16.82,-0.95
29/11/2010,16.11,0.95
30/11/2010,15.91,0.33
30/11/2010,15.45,1.59
01/12/2010,15.88,2.53
01/12/2010,16.55,0.97
02/12/2010,15.85,-0.88
02/12/2010,16.64,-2.7
03/12/2010,16.94,-2.08
03/12/2010,16.62,-1.15
04/12/2010,17.17,0.07
